location,participant_id,region_grew_up,highest_education,current_age,reading_habits,preferred_genre,example_id,book_title,book_authors,book_country,book_genre,review_text,has_read_author,has_read_book,choose_genre_impact,choose_demo_impact,familiarity_grp,understand_grp,can_similar_demo_genre_write,span,span_type
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,97443.0,The White Tiger,Aravind Adiga,india,fiction,"It was a quick read. 
 The story is as fast as a bullet train. Fisssssss...ooouiuu.....! 
 Mr Arvind's writing is commendable for the reason of bringing out the stark truth of the life of poor (Darkness) and rich (Light) of India through eye of a chauffeur. 
 The whole story is addressed to the former state head of ""People's Republic of China"". 
 For detailed review please follow the link: https://en.wikipedia.org/wiki/The_Whi...",no,no,genre_influence_no,demographic_influence_no,familiar,understood,similar_demo_genre_yes,,NA
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,71332.0,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,india,fiction,"DISAPPOINTED 
 After the first two books, I had high hopes. The plot was good; it had purpose - ""Evil"" had risen in Meluha, Shiva had to stop it. 
 And then came ""the oath of vayuputras"" . Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about, the balance between ""Good"" and ""Evil"". that had been destroyed(seriously!) and that Shiva must remove ""Evil"" and restore ""Good"".All this was told over in like 50 pages with words good & evil being repeated in every other sentence. 
 Most disappointing about this book was the terrible ending. it took me days to complete this book. 
 the title of the book is ""oath"" of vayuputras! 
 what oath? 
 it could have been batter",no,no,genre_influence_no,demographic_influence_no,familiar,understood,similar_demo_genre_maybe,,NA
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,9798.0,The Sun Also Rises,Ernest Hemingway,usa,fiction,"I guess I can understand why this was such a sensation in the 1920's. It certainly has a timeless quality and its themes are articulated in a style which seems modern almost a century later. I devoured his descriptions of fishing in the Basque country and the bull fighting fiesta in Paloma. I was less impressed by the endless drinking and bar-hopping in Paris which comprise the first part of the book. 
 Since this was written we have witnessed other rudderless groups of young people, from the Beats in On The Road to Ken Kesey's Merry Pranksters. These groups share a propensity for deep and abiding friendship with Hemingway's Lost Generation...and a similar lack of purpose. That Hemingway was able to convey so much with his simple, spare prose is a mighty accomplishment but he failed to slay me.",yes,no,genre_influence_no,demographic_influence_no,familiar,understood,similar_demo_genre_yes,"Since this was written we have witnessed other rudderless groups of young people,","Non-Cultural, Non-linguistic"
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,109067.0,The Best American Essays of the Century,"Joyce Carol Oates, Robert Atwan",usa,non-fiction,"What did I think? What didn't I think? Every essay in this beautifully curated collection is a home run, and most of them were 
 from writers I didn't know. John Muir? Sure, Muir woods, all that. But how would I in my lifetime have learned that he is a 
 sublime writer, pure humor, pure soul, and that he had written the best thing I've ever read about a man's relationship with a dog? 
 (""Stickeen""). ""The Moral Equivalent of War"", by William James, speaks of how to turn the militaristic vision and people's need for 
 it to something positive in the world without a drop of sentimentality about War Being Bad. And I could go on. But you should take my 
 place, and get this book. If any part of your life is available to be changed, to whatever degree, you will find something in this book that 
 will change it.",no,no,genre_influence_no,demographic_influence_no,not familiar,not understood,similar_demo_genre_no,"But how would I in my lifetime have learned that he is a 
 sublime writer, pure humor, pure soul, and that he had written the best thing I've ever read about a man's relationship with a dog? 
 (""Stickeen""). ""The Moral Equivalent of War"", by William James, speaks of how to turn the militaristic vision and people's need for 
 it to something positive in the world without a drop of sentimentality","Non-Cultural, Non-linguistic"
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,111980.0,The Broom of the System,"David Foster Wallace, Duke Riley",usa,fiction,"Leonore endeavours to locate her missing grandmother, soothe the neuroses of her boyfriend, handle her cockatiel's fame and escape consumption by Mr Bombardini in this very funny novel. 
 Probably the 'easiest' thing of DFW's that I've read, and I enjoyed it immensely. Repeated jokes -- ""Frequent and Vigorous"", Vlad the Impaler, a city in the shape of Jayne Mansfield -- were fantastic, as was every single name of every single character.",no,no,genre_influence_no,demographic_influence_no,very familiar,well understood,similar_demo_genre_yes,,NA
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,30932.0,Joyland,Stephen King,usa,fiction,"Joyland was fantastic! The feel of an classic mystery story. A touch of paranormal. Stephen King's distinctive ability to give his character's believable voices. Desription so well written, you can smell the cotton candy and feel the stickiness of the humidity. You absolutely cannot go wrong with Joyland. Here's hoping Stephen King writes another in this genre because he does it extremely well.",yes,no,genre_influence_no,demographic_influence_no,very familiar,well understood,similar_demo_genre_yes,,NA
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,91606.0,In an Antique Land: History in the Guise of a Traveler's Tale,Amitav Ghosh,india,non-fiction,"I hardly ever read non-fiction, but this one being written by Amitav Ghosh, a recent discovery of mine, I just had to try it. 
 I've found it very interesting to read about ""modern"" Egypt through Ghosh's decription of the time he spent there. For me this book is a sort of historic & anthropologic one. History has always been a passion of mine. Anthropology is something that I don't know much about, but am interested in. So, adding this the fact that it was written by someone who I think has a very captivating way of writing, you get a pretty absorbing book.",no,no,genre_influence_no,demographic_influence_no,very familiar,well understood,similar_demo_genre_yes,,NA
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,112151.0,"Guns, Germs and Steel: The Fates of Human Societies","Jared Diamond, Grover Gardner",usa,non-fiction,"One of those rare books that I just couldn't finish. It sounds so interesting, so important and I'm sure it is to many but not me. Too bad - it's filled with all sorts of stuff to keep a philosophical conversation on politics and human nature going long into the night. 
 I got more than half way through thinking I just needed to get through the dry parts. I didn't. I needed a lot more camels loaded with water to make it through this Sahara. I like reading history but this book is pre-history for the most part. It has such a wide scope it has to focus on broad movements and developments over centuries. Although it's overflowing with little tidbits of interesting observations and conclusions, it's hard to latch on to that kind of narrative. The history I'm used to reading inevitably focuses on individuals or communities with a story that is much more relatable. Added to this is the academic approach of anticipating criticisms and offering counterarguments. Too dense for me. I should've went for the abridged version.",no,no,genre_influence_no,demographic_influence_no,familiar,understood,similar_demo_genre_no,I needed a lot more camels loaded with water to make it through this Sahara.,"Cultural, Linguistic"
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,99800.0,Five Point Someone,Chetan Bhagat,india,fiction,"I started reading it long after watching the movie 3 idiots and a recommendation from friend. Once I started it it was difficult to put it down. It is most humours book I have read so far. The book did give you a sense of watching a movie. 
 I lived it because of humour ans sponteneousness of it. I dont have consider this as a literally novel. This book is written from a boys prespective so not an unbaised book as well. I myself is a topper from engineering institute and can relate to some incidents. Life described is not a mirror image of what happened but that is the beauty of fiction. Some parts I think were very relatable to the big bang theory I dont know who came first book or that season. 
 Still I gave it 5 star because once I started it is difficult to put it down. meaning it kept my interest.",no,no,genre_influence_no,demographic_influence_no,not familiar,understood,similar_demo_genre_yes,I myself is a topper from engineering institute and can relate to some incidents.,"Non-Cultural, Non-linguistic"
usa,4fe9bf24f5b6257fa82e67cf409efdb975c168494ee0a26ed1cb68181bf93e53,urban,undergraduate,40_to_60,moderate,non_fiction,49275.0,Cutting for Stone,Abraham Verghese,ethiopia,fiction,"I loved this book, really wanted to rate it a 4+ stars. It may become a 5 after I have had more time to think about it. There were many issues to think about, living circumstances, life decisions, death, etc. It was not a light, easy read, but moving in many ways.",no,no,genre_influence_no,demographic_influence_no,familiar,well understood,similar_demo_genre_yes,,NA
